CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46429B598,INDA,ISHARES TR,0,-24647,0,-1.33M,CLOSE,0%
G6359F137,NBR,NABORS INDUSTRIES LTD,0,-25021,0,-1.36M,CLOSE,0%
53216B104,LFMD,LIFEMD INC,0,-399094,0,-1.36M,CLOSE,0%
912932100,UNIT,UNITI GROUP LLC,292177,-145328,2.74M,-1.36M,-33.2%,<.01%
57776J100,MXL,MAXLINEAR INC,0,-78359,0,-1.37M,CLOSE,0%
11135E203,BNL,BROADSTONE NET LEASE INC,0,-79253,0,-1.38M,CLOSE,0%
440407104,HBNC,HORIZON BANCORP IND,22364,-83879,370.57K,-1.39M,-79%,<.01%
92347M100,VERI,VERITONE INC,0,-303106,0,-1.41M,CLOSE,0%
268158201,DVAX,DYNAVAX TECHNOLOGIES CORP,0,-92241,0,-1.42M,CLOSE,0%
Y62132108,NVGS,NAVIGATOR HLDGS LTD,80728,-74391,1.56M,-1.44M,-48%,<.01%
952845105,WFG,WEST FRASER TIMBER CO LTD,0,-23570,0,-1.44M,CLOSE,0%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,3000,-7600,575.76K,-1.46M,-71.7%,<.01%
83444M101,SOLV,SOLVENTUM CORP,0,-18474,0,-1.46M,CLOSE,0%
989817101,ZUMZ,ZUMIEZ INC,0,-56788,0,-1.48M,CLOSE,0%
78646V107,SAFE,SAFEHOLD INC,0,-108719,0,-1.49M,CLOSE,0%
464288414,MUB,ISHARES TR,0,-13917,0,-1.49M,CLOSE,0%
970646105,WLFC,WILLIS LEASE FIN CORP,0,-11086,0,-1.5M,CLOSE,0%
29260V105,DAVA,ENDAVA PLC,22873,-341487,101.1K,-1.51M,-93.7%,<.01%
66510M204,NAK,NORTHERN DYNASTY MINERALS LT,0,-769596,0,-1.52M,CLOSE,0%
28106W103,EDIT,EDITAS MEDICINE INC,116995,-616488,288.98K,-1.52M,-84%,<.01%
