CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
062540109,BOH,BANK HAWAII CORP,1859,1859,138.03K,138.03K,NEW,<.01%
03076C106,AMP,AMERIPRISE FINL INC,308,308,136.88K,136.88K,NEW,<.01%
09174C104,BITB,BITWISE BITCOIN ETF TR,3846,3700,141.57K,136.2K,+2534.2%,<.01%
127203107,WHD,CACTUS INC,2859,2859,135.43K,135.43K,NEW,<.01%
464286822,EWW,ISHARES INC,11535,1800,867.78K,135.41K,+18.5%,0.02%
922280102,VRNS,VARONIS SYS INC,16143,6306,346.59K,135.39K,+64.1%,<.01%
36168Q104,GFL,GFL ENVIRONMENTAL INC,3194,3194,133.25K,133.25K,NEW,<.01%
759509102,RS,RELIANCE INC,434,434,131.9K,131.9K,NEW,<.01%
G8994E103,TT,TRANE TECHNOLOGIES PLC,1021,312,425.49K,130.02K,+44%,<.01%
49845K101,KVYO,KLAVIYO INC,6611,6611,128.65K,128.65K,NEW,<.01%
66987V109,NVS,NOVARTIS AG,839,839,128.16K,128.16K,NEW,<.01%
70975L107,PEN,PENUMBRA INC,600,390,197.02K,128.06K,+185.7%,<.01%
84790A105,SPB,SPECTRUM BRANDS HOLDINGS INC,7544,1734,555.99K,127.8K,+29.8%,0.01%
920253101,VMI,VALMONT INDS INC,319,319,127.46K,127.46K,NEW,<.01%
74935Q107,RBA,RB GLOBAL INC,1295,1295,124.13K,124.13K,NEW,<.01%
81211K100,SEE,SEALED AIR CORP NEW,3400,2900,142.97K,121.94K,+580%,<.01%
665531307,NOG,NORTHERN OIL & GAS INC,4164,4164,121.71K,121.71K,NEW,<.01%
298736109,EEFT,EURONET WORLDWIDE INC,1832,1832,121.59K,121.59K,NEW,<.01%
09257W100,BXMT,BLACKSTONE MORTGAGE TRUST IN,23348,6294,447.11K,120.53K,+36.9%,<.01%
52466B103,LZ,LEGALZOOM COM INC,20909,20909,118.55K,118.55K,NEW,<.01%
978097103,WWW,WOLVERINE WORLD WIDE INC,7089,7089,115.69K,115.69K,NEW,<.01%
