CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
452327109,ILMN,ILLUMINA INC,191907,-7951,23.65M,-980.04K,-4%,0.02%
675232102,OII,OCEANEERING INTL INC,60012,-27898,2.13M,-989.54K,-31.7%,<.01%
343412102,FLR,FLUOR CORP NEW,0,-25071,0,-993.56K,CLOSE,0%
78467Y107,MDY,STATE STR SPDR S&P MIDCAP 40,1874,-1654,1.16M,-1.02M,-46.9%,<.01%
G9460G101,VAL,VALARIS LTD,7568,-10451,741.97K,-1.02M,-58%,<.01%
12621E103,CNO,CNO FINL GROUP INC,30469,-25033,1.25M,-1.03M,-45.1%,<.01%
45826H109,ITGR,INTEGER HLDGS CORP,0,-13208,0,-1.04M,CLOSE,0%
07556Q881,BZH,BEAZER HOMES USA INC,0,-51268,0,-1.04M,CLOSE,0%
03937C105,ARCB,ARCBEST CORP,0,-14313,0,-1.06M,CLOSE,0%
576323109,MTZ,MASTEC INC,99486,-3370,32.01M,-1.08M,-3.3%,0.02%
844895102,SWX,SOUTHWEST GAS HLDGS INC,0,-13575,0,-1.09M,CLOSE,0%
233331107,DTE,DTE ENERGY CO,347792,-7506,50.85M,-1.1M,-2.1%,0.03%
163072101,CAKE,CHEESECAKE FACTORY INC,0,-22178,0,-1.12M,CLOSE,0%
571748102,MRSH,MARSH & MCLENNAN COS INC,222594,-6481,38.61M,-1.12M,-2.8%,0.03%
29357K103,ENVA,ENOVA INTL INC,0,-7251,0,-1.14M,CLOSE,0%
M7516K103,NVMI,NOVA LTD,0,-3546,0,-1.16M,CLOSE,0%
25746U109,D,DOMINION ENERGY INC,902956,-19489,55.82M,-1.2M,-2.1%,0.04%
049560105,ATO,ATMOS ENERGY CORP,346090,-6958,63.93M,-1.29M,-2%,0.04%
13057Q305,CRC,CALIFORNIA RES CORP,0,-31154,0,-1.39M,CLOSE,0%
231561101,CW,CURTISS WRIGHT CORP,0,-2528,0,-1.39M,CLOSE,0%
025537101,AEP,AMERICAN ELEC PWR CO INC,493085,-10643,64.63M,-1.4M,-2.1%,0.04%
86722A103,SXC,SUNCOKE ENERGY INC,0,-199423,0,-1.44M,CLOSE,0%
296315104,ESE,ESCO TECHNOLOGIES INC,0,-7370,0,-1.44M,CLOSE,0%
